sector,category,activity_id,Notes,sector-description,category-description
Consumer Goods and Services,Clothing and Footwear,consumer_goods-type_[....],This category includes both primary and secondary (recycled) materials,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the clothing and footwear category are generated throughout the lifecycle of these products including their production transportation use and disposal. The emissions primarily result from energy-intensive manufacturing processes such as textile production dyeing and finishing as well as from the use of fossil fuels for transportation and the release of emissions during product disposal.
Consumer Goods and Services,Consumer Goods Rental,consumer_goods_rental-type_[....],,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the consumer goods rental category involve the release of gases into the atmosphere due to the operations and activities associated with renting and using various consumer goods.
Consumer Goods and Services,DIY and Gardening Equipment,equipment_gardening_diy-type_[....],,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the DIY and gardening equipment category are associated with the release of gases into the atmosphere resulting from the use and operation of tools and equipment used for do-it-yourself projects and gardening activities. These emissions primarily occur due to the combustion of fossil fuels in machinery such as lawnmowers chainsaws trimmers and other power tools.
Consumer Goods and Services,Domestic Services,domestic_services-type_[....],,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the domestic services category refer to the release of gases into the atmosphere resulting from various household services and activities. These emissions primarily occur from energy consumption related to heating cooling and powering homes as well as from the use of appliances and equipment such as refrigerators washing machines and televisions.
Consumer Goods and Services,Food/Beverages/Tobacco,consumer_goods-type_[....],This category includes both primary and secondary (recycled) materials,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the food beverages and tobacco category encompass the release of gases into the atmosphere resulting from various activities within these industries. These emissions primarily arise from agricultural practices including the cultivation of crops and the raising of livestock which can generate methane (CH4) and nitrous oxide (N2O) emissions. Additionally emissions can occur during food processing packaging transportation and storage as well as from the energy consumption and waste management practices within the sector.
Consumer Goods and Services,Food/Beverages/Tobacco,consumer_goods-type_[....]-origin_region_[....],This category includes both primary and secondary (recycled) materials,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the food beverages and tobacco category encompass the release of gases into the atmosphere resulting from various activities within these industries. These emissions primarily arise from agricultural practices including the cultivation of crops and the raising of livestock which can generate methane (CH4) and nitrous oxide (N2O) emissions. Additionally emissions can occur during food processing packaging transportation and storage as well as from the energy consumption and waste management practices within the sector.
Consumer Goods and Services,Furnishings and Household,consumer_goods-type_[....],,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the furnishings and household category pertain to the release of gases into the atmosphere resulting from the production use and disposal of various household items and furnishings. These emissions primarily occur during the manufacturing processes where the extraction of raw materials such as wood or metal and the production of synthetic materials can lead to the release of greenhouse gases.
Consumer Goods and Services,General Retail,general_retail-type_[....],,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the general retail category refer to the release of gases into the atmosphere resulting from various activities within the retail sector. These emissions primarily occur from the energy consumption in retail stores including lighting heating and cooling systems.
Consumer Goods and Services,Health Care,health_care-type_[....],,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the healthcare category refer to the release of gases into the atmosphere resulting from activities within the healthcare sector. These emissions primarily occur from energy consumption in healthcare facilities for heating cooling lighting and operating medical equipment.
Consumer Goods and Services,Paper Products,paper_products-type_[....],,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the paper products category are associated with the release of gases into the atmosphere resulting from the production use and disposal of various paper-based products. These emissions primarily occur during the manufacturing process which involves the pulping of wood fibers chemical treatments and energy-intensive processes.
Consumer Goods and Services,Personal Care and Accessories,consumer_goods-type_[....],,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the personal care and accessories category involve the release of gases into the atmosphere resulting from the production use and disposal of various personal care products and accessories. These emissions primarily occur during the manufacturing process which often involves the use of energy-intensive processes such as chemical synthesis extraction and packaging.
Consumer Goods and Services,Professional Services,consumer_services-type_[....],,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the professional services and activities category encompass the release of gases into the atmosphere resulting from the operations and activities of various professional service providers. These emissions primarily occur from energy consumption in office spaces including lighting heating cooling and the use of electronic equipment.
Consumer Goods and Services,Recreation and Culture,consumer_goods-type_[....],,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the recreation and culture category involve the release of gases into the atmosphere resulting from various recreational and cultural activities. These emissions primarily occur from energy consumption and transportation associated with recreational facilities entertainment venues museums theaters and other cultural establishments.
Consumer Goods and Services,Textiles,textiles-type_[....],,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the textiles category are associated with the release of gases into the atmosphere resulting from various stages of textile production including the extraction of raw materials manufacturing processes transportation and product disposal.
Consumer Goods and Services,Vehicle Maintenance and Services,consumer_goods-type_[....],,The consumer goods and services sector contributes to greenhouse gas emissions through the production distribution and consumption of goods and services by individuals. These emissions primarily result from manufacturing processes transportation and energy consumption during the use and disposal of consumer goods such as appliances electronics clothing and personal care products.,Greenhouse gas emissions from the vehicle maintenance and services category involve the release of gases into the atmosphere resulting from activities related to the maintenance repair and servicing of vehicles. These emissions primarily occur from the energy consumption in repair workshops such as electricity and heating as well as the use of fuel during testing and running of vehicles.
Education,Education,education-type_[....],,The education sector contributes to greenhouse gas emissions through the operation and maintenance of educational institutions including schools colleges and universities. These emissions primarily arise from energy consumption for heating cooling lighting and powering educational facilities as well as transportation and waste management.,Greenhouse gas emissions from the education category encompass the release of gases into the atmosphere resulting from educational institutions' operations and activities.
Energy,Electricity,electricity-supply_[....]-source_[....],,The energy sector is a significant contributor to greenhouse gas emissions as it involves the extraction production and distribution of energy from various sources such as fossil fuels renewable energy and nuclear power. Emissions in this sector primarily come from the combustion of fossil fuels which release carbon dioxide (CO2) and other greenhouse gases into the atmosphere.,Greenhouse gas emissions from the electricity category refer to the release of gases into the atmosphere resulting from the generation and consumption of electricity. These emissions primarily occur during the production of electricity from various sources including fossil fuels such as coal oil and natural gas.
Energy,Energy Services,energy_services-type_[....],,The energy sector is a significant contributor to greenhouse gas emissions as it involves the extraction production and distribution of energy from various sources such as fossil fuels renewable energy and nuclear power. Emissions in this sector primarily come from the combustion of fossil fuels which release carbon dioxide (CO2) and other greenhouse gases into the atmosphere.,Greenhouse gas emissions from the energy services category refer to the release of gases into the atmosphere resulting from the provision of energy-related services such as electricity generation heating cooling and fuel supply.
Energy,Fuel,fuel-type_[....]-fuel_use_[....],,The energy sector is a significant contributor to greenhouse gas emissions as it involves the extraction production and distribution of energy from various sources such as fossil fuels renewable energy and nuclear power. Emissions in this sector primarily come from the combustion of fossil fuels which release carbon dioxide (CO2) and other greenhouse gases into the atmosphere.,Greenhouse gas emissions from the fuel category involve the release of gases into the atmosphere resulting from the combustion or use of various types of fuels. These emissions primarily occur during the burning of fossil fuels such as coal oil and natural gas for electricity generation heating transportation and industrial processes.
Energy,Heat and Steam,heat_and_steam-type_[....],,The energy sector is a significant contributor to greenhouse gas emissions as it involves the extraction production and distribution of energy from various sources such as fossil fuels renewable energy and nuclear power. Emissions in this sector primarily come from the combustion of fossil fuels which release carbon dioxide (CO2) and other greenhouse gases into the atmosphere.,Greenhouse gas emissions from the heat and steam category involve the release of gases into the atmosphere resulting from the production and use of heat and steam for various purposes. These emissions primarily occur from the combustion of fossil fuels such as natural gas coal or oil in boilers and other heating systems.
Equipment,Electrical Equipment,electrical_equipment-type_[....],This category includes both primary and secondary (recycled) materials,The equipment sector contributes to greenhouse gas emissions through the manufacturing use and disposal of equipment and machinery. These emissions primarily result from energy consumption during the manufacturing process as well as fuel combustion and electricity usage during the operational phase.,Greenhouse gas emissions from the electrical equipment category refer to the release of gases into the atmosphere resulting from the production operation and disposal of various electrical devices and appliances. These emissions primarily arise from the consumption of electricity during the use phase of electrical equipment such as computers televisions refrigerators air conditioners and other household and industrial appliances. 
Equipment,Electronics,electronics-type_[....],,The equipment sector contributes to greenhouse gas emissions through the manufacturing use and disposal of equipment and machinery. These emissions primarily result from energy consumption during the manufacturing process as well as fuel combustion and electricity usage during the operational phase.,Greenhouse gas emissions from the electronics category are related to the release of gases into the atmosphere resulting from the lifecycle of electronic devices. These emissions primarily occur during the manufacturing phase where energy-intensive processes and the extraction of raw materials contribute to greenhouse gas emissions. Additionally emissions can arise from the use phase as electronic devices consume electricity during operation leading to indirect emissions from the generation of that electricity.
Equipment,Equipment Rental,equipment_retail-type_[....],,The equipment sector contributes to greenhouse gas emissions through the manufacturing use and disposal of equipment and machinery. These emissions primarily result from energy consumption during the manufacturing process as well as fuel combustion and electricity usage during the operational phase.,Greenhouse gas emissions from the equipment rental category pertain to the release of gases into the atmosphere resulting from the use and operation of rented equipment. These emissions primarily occur from the energy consumption associated with the operation of rental equipment such as construction machinery vehicles generators and other industrial equipment.
Equipment,Equipment Repair,equipment_repair-type_[....],,The equipment sector contributes to greenhouse gas emissions through the manufacturing use and disposal of equipment and machinery. These emissions primarily result from energy consumption during the manufacturing process as well as fuel combustion and electricity usage during the operational phase.,Greenhouse gas emissions from the equipment repair category relate to the release of gases into the atmosphere resulting from repair and maintenance activities performed on various types of equipment. These emissions primarily occur from the energy consumption during repair processes such as the use of power tools heating systems or industrial machinery.
Equipment,Machinery,machinery-type_[....],,The equipment sector contributes to greenhouse gas emissions through the manufacturing use and disposal of equipment and machinery. These emissions primarily result from energy consumption during the manufacturing process as well as fuel combustion and electricity usage during the operational phase.,Greenhouse gas emissions from the machinery category relate to the release of gases into the atmosphere resulting from the operation and use of various types of machinery and equipment.
Equipment,Office Equipment,office_equipment-type_[....],,The equipment sector contributes to greenhouse gas emissions through the manufacturing use and disposal of equipment and machinery. These emissions primarily result from energy consumption during the manufacturing process as well as fuel combustion and electricity usage during the operational phase.,Greenhouse gas emissions from the office equipment category involve the release of gases into the atmosphere resulting from the production use and disposal of various office equipment and devices. These emissions primarily occur from the energy consumption of office equipment such as computers printers copiers and telecommunication devices.
Equipment,Storage,equipment_storage-type_[....],,The equipment sector contributes to greenhouse gas emissions through the manufacturing use and disposal of equipment and machinery. These emissions primarily result from energy consumption during the manufacturing process as well as fuel combustion and electricity usage during the operational phase.,Greenhouse gas emissions from the storage category involve the release of gases into the atmosphere resulting from the storage and handling of various materials and substances.
Health and Social Care,Health and Social Care,health_social_care-type_[....],,The health and social care sector contributes to greenhouse gas emissions through the provision of healthcare services including hospitals clinics and long-term care facilities. These emissions primarily come from energy consumption for heating cooling lighting and medical equipment as well as transportation and waste management.,Greenhouse gas emissions from the health and social care category involve the release of gases into the atmosphere resulting from activities within the healthcare and social care sectors. These emissions primarily occur from energy consumption in hospitals clinics and care facilities for heating cooling and powering medical equipment. 
Health and Social Care,Health Care,health_care-type_[....],,The health and social care sector contributes to greenhouse gas emissions through the provision of healthcare services including hospitals clinics and long-term care facilities. These emissions primarily come from energy consumption for heating cooling lighting and medical equipment as well as transportation and waste management.,Greenhouse gas emissions from the healthcare category refer to the release of gases into the atmosphere resulting from activities within the healthcare sector. These emissions primarily occur from energy consumption in healthcare facilities for heating cooling lighting and operating medical equipment.
Health and Social Care,Social Care,social_care-type_[....],,The health and social care sector contributes to greenhouse gas emissions through the provision of healthcare services including hospitals clinics and long-term care facilities. These emissions primarily come from energy consumption for heating cooling lighting and medical equipment as well as transportation and waste management.,Greenhouse gas emissions from the social care category refer to the release of gases into the atmosphere resulting from the operations and activities related to providing social care services. While the specific emissions in this category can vary they primarily arise from energy consumption in care facilities including heating cooling lighting and other utilities.
Health and Social Care,Social Care,other_social_services-type_[....],,The health and social care sector contributes to greenhouse gas emissions through the provision of healthcare services including hospitals clinics and long-term care facilities. These emissions primarily come from energy consumption for heating cooling lighting and medical equipment as well as transportation and waste management.,Greenhouse gas emissions from the social care category refer to the release of gases into the atmosphere resulting from the operations and activities related to providing social care services. While the specific emissions in this category can vary they primarily arise from energy consumption in care facilities including heating cooling lighting and other utilities.
Information and Communication,Cloud Computing - CPU,cpu-provider_[....]-region_[....],,The information and communication sector contributes to greenhouse gas emissions through activities related to information technology telecommunications and media. These emissions primarily result from energy consumption in data centers telecommunications networks and electronic devices.,Greenhouse gas emissions from cloud computing - CPU category refer to the release of gases into the atmosphere resulting from the energy consumption of central processing units (CPUs) in cloud computing infrastructure. These emissions primarily occur during the operation of data centers and server farms where large amounts of electricity are consumed to power and cool the computing hardware. 
Information and Communication,Cloud Computing - Memory,memory-provider_[....]-region_[....],,The information and communication sector contributes to greenhouse gas emissions through activities related to information technology telecommunications and media. These emissions primarily result from energy consumption in data centers telecommunications networks and electronic devices.,Greenhouse gas emissions from cloud computing - memory category pertain to the release of gases into the atmosphere associated with the energy consumption of memory components in cloud computing infrastructure. These emissions primarily occur during the operation of data centers and server farms where memory modules are utilized for storing and accessing data.
Information and Communication,Cloud Computing - Networking,networking-provider_[....]-region_[....],,The information and communication sector contributes to greenhouse gas emissions through activities related to information technology telecommunications and media. These emissions primarily result from energy consumption in data centers telecommunications networks and electronic devices.,Greenhouse gas emissions from cloud computing - networking category are the result of the energy consumption associated with network infrastructure in cloud computing operations. These emissions primarily occur during the transmission of data between servers data centers and end-user devices. 
Information and Communication,Cloud Computing - Storage,storage-provider_[....]-region_[....]-type_[....],,The information and communication sector contributes to greenhouse gas emissions through activities related to information technology telecommunications and media. These emissions primarily result from energy consumption in data centers telecommunications networks and electronic devices.,Greenhouse gas emissions from cloud computing - storage category refer to the release of gases into the atmosphere resulting from the energy consumption of storage devices and infrastructure in cloud computing operations. These emissions primarily occur during the operation and maintenance of data storage systems within data centers.
Information and Communication,Information and Communication Services,communication_services-type_[....],,The information and communication sector contributes to greenhouse gas emissions through activities related to information technology telecommunications and media. These emissions primarily result from energy consumption in data centers telecommunications networks and electronic devices.,Greenhouse gas emissions from the information and communication services category pertain to the release of gases into the atmosphere resulting from various activities within the industry. These emissions primarily occur from the energy consumption of data centers telecommunication networks and the operation of information technology (IT) infrastructure.
Insurance and Financial Services,Financial Services,financial_services-type_[....],,The insurance and financial services sector contributes to greenhouse gas emissions through the operation and infrastructure of insurance companies banks and financial institutions. These emissions primarily arise from energy consumption in office buildings data centers and transportation as well as investment activities that support carbon-intensive industries.,Greenhouse gas emissions from the financial services category are associated with the release of gases into the atmosphere resulting from the operations and activities of financial institutions and services. These emissions primarily occur indirectly through the financing and investment activities of financial institutions which can support industries that generate significant greenhouse gas emissions.
Insurance and Financial Services,Insurance Services,insurance-type_[....],,The insurance and financial services sector contributes to greenhouse gas emissions through the operation and infrastructure of insurance companies banks and financial institutions. These emissions primarily arise from energy consumption in office buildings data centers and transportation as well as investment activities that support carbon-intensive industries.,Greenhouse gas emissions from the insurance services category refer to the release of gases into the atmosphere resulting from the operations and activities of the insurance industry. These emissions primarily occur from the energy consumption in office buildings and facilities including lighting heating cooling and the use of electronic equipment.
Land Use,Land Use Change,land_use_change-type_[....],,The land use sector contributes to greenhouse gas emissions through activities related to agriculture hunting forestry and fishing. These emissions primarily arise from practices such as enteric fermentation in livestock rice cultivation manure management deforestation and the burning of agricultural residues.,Greenhouse gas emissions from the land use change category involve the release of gases into the atmosphere resulting from changes in land use and land cover primarily due to deforestation urbanization and agricultural practices.
Materials and Manufacturing,Building Materials,building_materials-type_[....]-components_[....]-total_cementitious_content_[....]-size_[....],This category includes both primary and secondary (recycled) materials,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the building materials category are the result of the production extraction and transportation of materials used in construction. These emissions primarily come from energy-intensive processes like cement production steel manufacturing and the extraction of raw materials.
Materials and Manufacturing,Ceramic Goods,ceramics-type_[....]-size[....],,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the ceramic goods category arise from the production and manufacturing processes of ceramic materials. These emissions primarily result from the energy-intensive processes involved in clay extraction shaping drying firing and glazing.
Materials and Manufacturing,Chemical Products,chemicals-type_[....],,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the chemical products category originate from the production processing and use of various chemical substances. These emissions primarily result from energy consumption during manufacturing processes including the extraction of raw materials chemical reactions and the synthesis of chemical compounds.
Materials and Manufacturing,Fabricated Metal Products,metal_products-type_[....],This category includes both primary and secondary (recycled) materials,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the fabricated metal products category involve the release of gases into the atmosphere resulting from the production processing and use of various metal products. These emissions primarily occur during the manufacturing processes including metal extraction refining shaping and assembly.
Materials and Manufacturing,Glass and Glass Products,glass_products-type_[....],This category includes both primary and secondary (recycled) materials,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the glass and glass products category relate to the release of gases into the atmosphere resulting from the production processing and use of glass materials and products.
Materials and Manufacturing,Manufacturing,manufacturing-type_[....],,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the manufacturing category involve the release of gases into the atmosphere resulting from various industrial processes and production activities. These emissions primarily occur from the combustion of fossil fuels such as coal oil and natural gas in manufacturing facilities.
Materials and Manufacturing,Metals,metals-type_[....],This category includes both primary and secondary (recycled) materials,The materials and manufacturing sector contributes to greenhouse gas emissions through the production and processing of raw materials as well as the manufacturing of various products. These emissions primarily result from energy consumption during manufacturing processes transportation and the use of fossil fuels as feedstock.,Greenhouse gas emissions from the metals category refer to the release of gases into the atmosphere resulting from the extraction processing and production of metallic materials. These emissions primarily occur during the energy-intensive processes involved in mining smelting refining and manufacturing metals.
